event_type,start_time,start_price,end_time,end_price,duration,length,speed,theta,num
-1,1.13623E+12,0.687600017,1.13626E+12,0.685400009,3312,0.003199545,9.66E-07,0.25,1
0,1.13626E+12,0.685400009,1.13627E+12,0.687099993,564,0.00248028,4.40E-06,0.25,2
1,1.13627E+12,0.687099993,1.13628E+12,0.689599991,1524,0.003638477,2.39E-06,0.25,3
0,1.13628E+12,0.689599991,1.13629E+12,0.687900007,804,0.002465174,3.07E-06,0.25,4
-1,1.13629E+12,0.687900007,1.13629E+12,0.6875,126,5.81E-04,4.61E-06,0.25,5
0,1.13629E+12,0.6875,1.13632E+12,0.689300001,3072,0.002618183,8.52E-07,0.25,6
1,1.13632E+12,0.689300001,1.13632E+12,0.689599991,6,4.35E-04,7.25E-05,0.25,7
0,1.13632E+12,0.689599991,1.13635E+12,0.68779999,2298,0.00261021,1.14E-06,0.25,8
-1,1.13635E+12,0.68779999,1.13635E+12,0.68690002,918,0.001308477,1.43E-06,0.25,9
0,1.13635E+12,0.68690002,1.13636E+12,0.688600004,936,0.002474864,2.64E-06,0.25,10
1,1.13636E+12,0.688600004,1.13636E+12,0.688799977,6,2.90E-04,4.84E-05,0.25,11
0,1.13636E+12,0.688799977,1.13637E+12,0.68690002,696,0.002758359,3.96E-06,0.25,12
-1,1.13637E+12,0.68690002,1.13637E+12,0.686600029,36,4.37E-04,1.21E-05,0.25,13
0,1.13637E+12,0.686600029,1.13638E+12,0.688199997,600,0.002330276,3.88E-06,0.25,14
1,1.13638E+12,0.688199997,1.13643E+12,0.690999985,5640,0.004068567,7.21E-07,0.25,15
0,1.13643E+12,0.690999985,1.13644E+12,0.689199984,318,0.002604921,8.19E-06,0.25,16
-1,1.13644E+12,0.689199984,1.13644E+12,0.689100027,6,1.45E-04,2.42E-05,0.25,17
0,1.13644E+12,0.689100027,1.13644E+12,0.690800011,168,0.002466963,1.47E-05,0.25,18
1,1.13644E+12,0.690800011,1.13644E+12,0.690999985,6,2.89E-04,4.82E-05,0.25,19
0,1.13644E+12,0.690999985,1.13644E+12,0.689100027,546,0.002749577,5.04E-06,0.25,20
-1,1.13644E+12,0.689100027,1.13646E+12,0.688000023,1998,0.00159629,7.99E-07,0.25,21
0,1.13646E+12,0.688000023,1.13647E+12,0.689700007,816,0.002470907,3.03E-06,0.25,22
1,1.13647E+12,0.689700007,1.13652E+12,0.690400004,4302,0.00101493,2.36E-07,0.25,23
0,1.13652E+12,0.690400004,1.13652E+12,0.688300014,810,0.003041702,3.76E-06,0.25,24
-1,1.13652E+12,0.688300014,1.13652E+12,0.688300014,0,0,0,0.25,25
0,1.13652E+12,0.688300014,1.13654E+12,0.690100014,1404,0.00261514,1.86E-06,0.25,26
1,1.13654E+12,0.690100014,1.13654E+12,0.690199971,18,1.45E-04,8.05E-06,0.25,27
0,1.13654E+12,0.690199971,1.13654E+12,0.688499987,300,0.002463031,8.21E-06,0.25,28
-1,1.13654E+12,0.688499987,1.13681E+12,0.683300018,26562,0.007552606,2.84E-07,0.25,29
0,1.13681E+12,0.683300018,1.13682E+12,0.685000002,1644,0.002487903,1.51E-06,0.25,30
1,1.13682E+12,0.685000002,1.13682E+12,0.685100019,6,1.46E-04,2.43E-05,0.25,31
0,1.13682E+12,0.685100019,1.13684E+12,0.683300018,1380,0.002627355,1.90E-06,0.25,32
-1,1.13684E+12,0.683300018,1.13685E+12,0.682799995,1200,7.32E-04,6.10E-07,0.25,33
0,1.13685E+12,0.682799995,1.13687E+12,0.684499979,2352,0.002489725,1.06E-06,0.25,34
1,1.13687E+12,0.684499979,1.13687E+12,0.684800029,66,4.38E-04,6.64E-06,0.25,35
0,1.13687E+12,0.684800029,1.13688E+12,0.683000028,834,0.002628506,3.15E-06,0.25,36
-1,1.13688E+12,0.683000028,1.13688E+12,0.682600021,78,5.86E-04,7.51E-06,0.25,37
0,1.13688E+12,0.682600021,1.13689E+12,0.684300005,918,0.002490454,2.71E-06,0.25,38
1,1.13689E+12,0.684300005,1.13697E+12,0.688600004,7944,0.006283791,7.91E-07,0.25,39
